word;phone_id;phone;f1;f2;f3;next_phone;duration
einst;2;aj;1609.8698885510294;2763.1006737696557;--undefined--;n;0.08
einst;3;n;287.1467480111186;1787.328014619063;2542.5727581897672;s;0.04999999999999999
einst;4;s;146.72665639982552;1710.0630754028696;2943.9798999847226;t;0.08000000000000002
einst;5;t;2059.00539749976;3123.388617596237;3843.8875522902513;ʃ;0.04999999999999999
stritten;6;ʃ;1946.1938946306477;2762.7978059688066;3145.5242165110753;t;0.04999999999999999
stritten;7;t;878.2433140166355;1568.4855904836686;2844.716494955011;ʁ;0.04999999999999999
stritten;8;ʁ;877.3778733324278;1661.8178361255968;2838.320374192263;ɪ;0.040000000000000036
stritten;9;ɪ;159.5100829964449;1582.3041009691344;2588.212847509151;tʰ;0.03999999999999998
stritten;10;tʰ;205.3964387253929;1455.4524721572554;2497.3507742030356;n̩;0.07000000000000006
stritten;11;n̩;229.16400824308684;1457.6555890839059;2471.859305391938;z;0.039999999999999925
sich;12;z;252.78457101037557;1718.5615352007608;2921.0806689437086;ɪ;0.07000000000000006
sich;13;ɪ;311.266272702528;1820.0027818561055;2463.4244375598273;ç;0.05999999999999994
sich;14;ç;284.20358608933526;2073.145115653568;2836.780094214352;n;0.07000000000000006
nordwind;15;n;185.73148959917523;1733.2489116480376;2457.991248756062;ɔ;0.039999999999999925
nordwind;16;ɔ;1020.7525721264443;1654.5298552459667;2801.7920830958656;ʁ;0.030000000000000027
nordwind;17;ʁ;172.77028868654278;958.5801230400398;2614.841580794741;t;0.08999999999999997
nordwind;18;t;694.4656785165502;1797.949765592419;3297.543696238587;v;0.040000000000000036
nordwind;19;v;468.6259842337708;1745.251214035867;3189.900894072526;ɪ;0.030000000000000027
nordwind;20;ɪ;281.50867684956967;1565.9737807102936;2461.0180192244293;n;0.040000000000000036
nordwind;21;n;227.4368456975112;1603.0843803479188;2379.2193856305375;t;0.040000000000000036
nordwind;22;t;79.33653928338853;1614.3143378765349;2794.9317200152113;ʊ;0.04999999999999982
und;23;ʊ;317.0236116061499;1149.399376390647;2701.3199055219725;n;0.040000000000000036
und;24;n;232.1064924050026;1198.9940287976908;2502.145548490041;t;0.07000000000000006
und;25;t;169.02873752123713;1745.2368788121746;3049.1970577915645;z;0.040000000000000036
sonne;26;z;1102.5828320213488;2088.7664371168244;3544.624890625865;ɔ;0.050000000000000044
sonne;27;ɔ;458.81667169848635;1030.753830912876;2638.0744802652025;n;0.07999999999999985
sonne;28;n;306.6126636903656;1345.2409791507762;2592.7151934830613;ə;0.050000000000000044
sonne;29;ə;183.76585776777432;1296.2986890243508;2420.071881990485;;0.22999999999999998
wer;31;v;213.5128762256884;1816.6317444245435;2438.383366326776;eː;0.029999999999999805
wer;32;eː;1733.70642111595;2388.7907785204593;3436.37341834949;ɐ;0.029999999999999805
wer;33;ɐ;322.25824950523315;1583.2914840797973;2326.76033730276;f;0.040000000000000036
von;34;f;1578.475626269948;1769.7913113201603;3125.0452116671627;ɔ;0.0900000000000003
von;35;ɔ;865.5476852199978;1689.2305835126815;2600.2192594482426;n;0.040000000000000036
von;36;n;155.72255695050353;1297.2718263631969;2296.494108198358;iː;0.04999999999999982
ihnen;37;iː;208.9132131467639;2187.700311219681;3289.9350138889436;n;0.10999999999999988
ihnen;38;n;156.50520921384742;1174.11481906541;2181.4783704413653;n̩;0.06000000000000005
ihnen;39;n̩;164.77731839806796;1079.934295897603;2377.5506158351295;b;0.08000000000000007
beiden;40;b;186.1074818199509;1135.4865650570152;2482.471267994223;aj;0.06999999999999984
beiden;41;aj;550.329583275827;1602.927430516921;2222.3980667851843;d;0.13000000000000034
beiden;42;d;416.230912690413;1722.1599541804808;2660.02028252181;n̩;0.04999999999999982
beiden;43;n̩;239.82528792652866;1652.6170442113232;2335.5270229108523;v;0.06999999999999984
wohl;44;v;186.32464050811245;1738.1300467994038;2880.157431205244;oː;0.10000000000000009
wohl;45;oː;215.38333961493313;861.511236941668;2619.103550388794;l;0.08000000000000007
wohl;46;l;185.13006407126255;1574.6078060226455;1899.4566343528636;d;0.06000000000000005
der;47;d;248.87417383475318;1700.4141097405432;2708.7292688238053;eː;0.029999999999999805
der;48;eː;342.4783693945042;1647.2817813694955;2380.0954900785764;ʁ;0.03000000000000025
der;49;ʁ;266.138751130673;1641.3258877799633;2732.8316330455746;ʃ;0.009999999999999787
stärkere;50;ʃ;1982.6038055779543;2896.2689732067333;3668.137245634744;t;0.08000000000000007
stärkere;51;t;952.8069172979762;1865.1503948599068;3041.524805368072;ɛ;0.050000000000000266
stärkere;52;ɛ;395.3991249570269;1626.0629326164892;2586.3581698639587;ʁ;0.03999999999999959
stärkere;53;ʁ;268.49187245639433;1748.0981997130652;1839.4918522260002;kʰ;0.050000000000000266
stärkere;54;kʰ;1746.6631819581912;1906.7261000432713;3548.1810789487877;ə;0.08000000000000007
stärkere;55;ə;1566.0313122425853;2560.2855708469024;3756.7416375164976;ʁ;0.029999999999999805
stärkere;56;ʁ;281.84248951599415;1501.8090848194201;2832.5667522129274;ə;0.08999999999999986
stärkere;57;ə;492.2385640205247;1441.8649405244348;2556.056625474477;v;0.03000000000000025
wäre;58;v;346.13932036676147;1722.99984460803;2750.675280940085;eː;0.06000000000000005
wäre;59;eː;254.62361093299322;1819.1861340175885;2281.5887741537776;ʁ;0.0900000000000003
wäre;60;ʁ;419.3829118900302;1554.906074874205;2654.253625648719;ə;0.08999999999999986
wäre;61;ə;406.6439930380261;1370.5773922185128;2457.5530290237725;;0.20999999999999996
als;63;a;679.3165340796311;1761.3082604107226;2751.11195954178;l;0.05999999999999961
als;64;l;1123.0107316272424;1815.6289562360332;3074.2052851493313;s;0.0600000000000005
als;65;s;167.0554237923831;1691.7268873225514;2929.5682208501203;aj;0.07000000000000028
ein;66;aj;564.290710458454;1568.548700847431;2567.67082068641;n;0.04999999999999982
ein;67;n;253.93447590558955;1345.9352150007714;2328.954877569117;v;0.08000000000000007
wanderer;68;v;225.20185655602305;1720.0972006233224;2447.542831361158;a;0.04999999999999982
wanderer;69;a;932.1718810232982;1521.60772035444;2415.8170780001724;n;0.05999999999999961
wanderer;70;n;166.68264805552502;1214.468503680274;2398.985956609502;d;0.07000000000000028
wanderer;71;d;1369.6283989633496;2735.4367558118724;3415.5124592620573;ɐ;0.040000000000000036
wanderer;72;ɐ;190.70818324803562;1314.2584812701068;2647.168570021193;ʁ;0.03000000000000025
wanderer;73;ʁ;155.29798922802397;1245.4409699171624;2759.3125214370634;ɐ;0.04999999999999982
wanderer;74;ɐ;1103.2485485605291;2644.0333842979717;3319.6114743058592;d;0.1200000000000001
der;75;d;180.2880501474227;1455.1004405721308;2749.955990464406;eː;0.08999999999999986
der;76;eː;413.9018550032361;1706.3623604098555;2270.419693335112;ʁ;0.08999999999999986
der;77;ʁ;398.42790007968745;1659.5065580728951;2494.0268001592626;ɪ;0.009999999999999787
in;78;ɪ;384.6434356277746;1596.8546396591753;2412.461853895394;n;0.040000000000000036
in;79;n;251.22154235259606;1591.2337472364184;2274.493442404541;aj;0.0600000000000005
einen;80;aj;772.2249599880705;1630.9601865827105;2659.9422902726487;n;0.13999999999999968
einen;81;n;270.9267698585335;1617.5281796772947;2412.272758141809;n̩;0.040000000000000036
einen;82;n̩;237.22500621976033;1044.257431406056;2354.3884513419775;v;0.08999999999999986
warmen;83;v;297.01550803908975;1591.3203277793673;2373.738342417867;a;0.0600000000000005
warmen;84;a;1015.2572144259334;1896.2875590437723;2847.078379536391;ʁ;0.08000000000000007
warmen;85;ʁ;874.7529410437551;1835.0283409563476;3359.494721595847;m;0.02999999999999936
warmen;86;m;759.7486839063811;1205.4589226491025;2196.754360965775;n̩;0.0600000000000005
warmen;87;n̩;562.1540186763244;1512.163416612793;2370.6159043356133;m;0.05999999999999961
