word;phone_id;phone;f1;f2;point_in_phone;timepoint_in_phone;next_phone;duration
einst;2;aj;591.0911984193687;1184.5275099733778;1;0;n;0.08
einst;2;aj;788.8616704246207;1590.1223584795696;2;0.016;n;0.08
einst;2;aj;1358.5770820045864;2018.9062824424334;3;0.032;n;0.08
einst;2;aj;997.884261215682;2428.439166353519;4;0.048;n;0.08
einst;2;aj;205.68763346631368;1733.6920237690015;5;0.064;n;0.08
einst;2;aj;581.9197010636613;1683.1006791544926;6;0.08;n;0.08
einst;3;n;581.9197010636613;1683.1006791544926;1;0;s;0.04999999999999999
einst;3;n;402.3525044588588;1803.858417895314;2;0.010000000000000009;s;0.04999999999999999
einst;3;n;311.3917727845758;1742.7574671049163;3;0.01999999999999999;s;0.04999999999999999
einst;3;n;270.1441301077877;1776.288280285246;4;0.03;s;0.04999999999999999
einst;3;n;194.33737625875014;1685.4399320202117;5;0.03999999999999998;s;0.04999999999999999
einst;3;n;182.31073248495804;1690.464845838367;6;0.04999999999999999;s;0.04999999999999999
einst;4;s;182.31073248495804;1690.464845838367;1;0;t;0.08000000000000002
einst;4;s;194.7962165717618;1759.166870071263;2;0.016000000000000014;t;0.08000000000000002
einst;4;s;171.7456817760094;1624.7437907082854;3;0.032;t;0.08000000000000002
einst;4;s;171.28133668024162;1760.436026035588;4;0.048000000000000015;t;0.08000000000000002
einst;4;s;936.7804843618422;2647.173859356162;5;0.064;t;0.08000000000000002
einst;4;s;1943.5577311595944;3049.8135211136796;6;0.08000000000000002;t;0.08000000000000002
einst;5;t;1943.5577311595944;3049.8135211136796;1;0;ʃ;0.04999999999999999
einst;5;t;2024.3318888741508;3086.385479327471;2;0.010000000000000009;ʃ;0.04999999999999999
einst;5;t;2040.1896886286258;3143.0226987607816;3;0.020000000000000018;ʃ;0.04999999999999999
einst;5;t;1745.1651524675613;2802.9227464162777;4;0.02999999999999997;ʃ;0.04999999999999999
einst;5;t;1817.8771282275702;2693.562698464839;5;0.03999999999999998;ʃ;0.04999999999999999
einst;5;t;1732.9004365056633;2813.5308660793116;6;0.04999999999999999;ʃ;0.04999999999999999
stritten;6;ʃ;1732.9004365056633;2813.5308660793116;1;0;t;0.04999999999999999
stritten;6;ʃ;1833.8241815327783;2896.106859215426;2;0.010000000000000009;t;0.04999999999999999
stritten;6;ʃ;1820.952911190211;2801.467544830947;3;0.020000000000000018;t;0.04999999999999999
stritten;6;ʃ;1980.1683761073748;2746.1898711571043;4;0.02999999999999997;t;0.04999999999999999
stritten;6;ʃ;1948.7706340894024;2678.0297275313874;5;0.03999999999999998;t;0.04999999999999999
stritten;6;ʃ;2005.5948161648462;2706.1146442117333;6;0.04999999999999999;t;0.04999999999999999
stritten;7;t;2005.5948161648462;2706.1146442117333;1;0;ʁ;0.04999999999999999
stritten;7;t;1932.791078629876;2826.9792146473046;2;0.010000000000000009;ʁ;0.04999999999999999
stritten;7;t;1735.3176270735005;2716.9797523940574;3;0.020000000000000018;ʁ;0.04999999999999999
stritten;7;t;1162.002944721174;1493.8629047925579;4;0.02999999999999997;ʁ;0.04999999999999999
stritten;7;t;1548.4876562287923;2951.501053214635;5;0.03999999999999998;ʁ;0.04999999999999999
stritten;7;t;1630.7432948223502;2242.232166085823;6;0.04999999999999999;ʁ;0.04999999999999999
stritten;8;ʁ;1630.7432948223502;2242.232166085823;1;0;ɪ;0.040000000000000036
stritten;8;ʁ;1570.8900542205388;1656.5212166144245;2;0.008000000000000007;ɪ;0.040000000000000036
stritten;8;ʁ;714.3187543216652;1681.7541358831988;3;0.016000000000000014;ɪ;0.040000000000000036
stritten;8;ʁ;975.115882921673;2200.5044257218;4;0.02400000000000002;ɪ;0.040000000000000036
stritten;8;ʁ;1618.155631881786;2664.015012267865;5;0.03200000000000003;ɪ;0.040000000000000036
stritten;8;ʁ;290.7873029546444;1600.8186662544124;6;0.040000000000000036;ɪ;0.040000000000000036
